우편번호,주소,법정동코드,건물명,위도,경도
02507,서울특별시 동대문구 전농로16길 17,1123010400,,127.0533630,37.5823368
02547,서울특별시 동대문구 전농로15길 35,1123010400,,127.0582779,37.5783602
02547,서울특별시 동대문구 전농로15길 27,1123010400,,127.0534725,37.5821922
02557,서울특별시 동대문구 서울시립대로21길 17,1123010400,,127.0556078,37.5773347
02556,서울특별시 동대문구 전농로37길 24,1123010400,,127.0536045,37.5822684
02556,서울특별시 동대문구 전농로37길 23,1123010400,,127.0532962,37.5814678
02556,서울특별시 동대문구 전농로37길 21,1123010400,,127.0559505,37.5776399
02551,서울특별시 동대문구 서울시립대로 70,1123010400,,127.0532144,37.5817573
02543,서울특별시 동대문구 서울시립대로 134,1123010400,,127.0513266,37.5821183
02558,서울특별시 동대문구 서울시립대로 65,1123010400,,127.0513908,37.5841747
02551,서울특별시 동대문구 서울시립대로 84,1123010400,,127.0530894,37.5812045
02558,서울특별시 동대문구 서울시립대로 63,1123010400,,127.0532766,37.5809942
02558,서울특별시 동대문구 서울시립대로 61,1123010400,,127.0515693,37.5842919
02551,서울특별시 동대문구 서울시립대로 78,1123010400,,127.0515868,37.5843770
02551,서울특별시 동대문구 서울시립대로 78,1123010400,,127.0537212,37.5813718
02550,서울특별시 동대문구 서울시립대로 110,1123010400,,127.0487402,37.5771732
02591,서울특별시 동대문구 서울시립대로 49,1123010400,,127.0542136,37.5844680
02551,서울특별시 동대문구 서울시립대로 78,1123010400,,127.0527089,37.5820613
02550,서울특별시 동대문구 서울시립대로 92,1123010400,,127.0501015,37.5748889
02550,서울특별시 동대문구 서울시립대로 96,1123010400,,127.0481758,37.5769974
02550,서울특별시 동대문구 서울시립대로 94,1123010400,,127.0525994,37.5814557
02558,서울특별시 동대문구 서울시립대로 55,1123010400,,127.0496160,37.5782308
02591,서울특별시 동대문구 서울시립대로 47,1123010400,,127.0681385,37.5812971
02551,서울특별시 동대문구 서울시립대로 60,1123010400,,127.0480507,37.5768256
02545,서울특별시 동대문구 답십리로23나길 78,1123010400,,127.0535008,37.5816762
02546,서울특별시 동대문구 답십리로23나길 47,1123010400,,127.0479799,37.5767482
02550,서울특별시 동대문구 답십리로23나길 11,1123010400,,127.0493144,37.5778280
02546,서울특별시 동대문구 답십리로23나길 62,1123010400,,127.0626836,37.5778386
02549,서울특별시 동대문구 답십리로23나길 28,1123010400,,127.0493144,37.5778280
02550,서울특별시 동대문구 답십리로23나길 11,1123010400,,127.0587593,37.5797890
02546,서울특별시 동대문구 답십리로23나길 46,1123010400,,127.0511703,37.5801953
02546,서울특별시 동대문구 답십리로23나길 65,1123010400,,127.0582707,37.5789561
02539,서울특별시 동대문구 전농로11가길 22,1123010400,,127.0472347,37.5758673
02539,서울특별시 동대문구 전농로11가길 8,1123010400,,127.0582712,37.5798413
02539,서울특별시 동대문구 전농로11가길 8,1123010400,,127.0493144,37.5778280
02539,서울특별시 동대문구 전농로11가길 8,1123010400,,127.0546814,37.5856926
02534,서울특별시 동대문구 한천로33가길 8,1123010400,,127.0501529,37.5789014
02534,서울특별시 동대문구 한천로33가길 3,1123010400,,127.0539596,37.5860222
02534,서울특별시 동대문구 한천로33가길 26,1123010400,,127.0503074,37.5791398
02534,서울특별시 동대문구 한천로33가길 3,1123010400,,127.0541730,37.5861446
02534,서울특별시 동대문구 한천로33가길 29,1123010400,,127.0503014,37.5789638
02543,서울특별시 동대문구 서울시립대로 136,1123010400,,127.0540809,37.5845743
02545,서울특별시 동대문구 답십리로23다길 57,1123010400,,127.0475708,37.5763668
02557,서울특별시 동대문구 서울시립대로19길 2,1123010400,,127.0529427,37.5813178
02557,서울특별시 동대문구 서울시립대로19길 4,1123010400,,127.0470931,37.5756889
02557,서울특별시 동대문구 서울시립대로19길 32,1123010400,,127.0502844,37.5782551
02546,서울특별시 동대문구 전농로21길 41,1123010400,,127.0482029,37.5764444
02546,서울특별시 동대문구 전농로21길 45,1123010400,,127.0487170,37.5767609
02545,서울특별시 동대문구 전농로21길 13,1123010400,,127.0556247,37.5792605
02545,서울특별시 동대문구 전농로21길 6,1123010400,,127.0542503,37.5792775
02546,서울특별시 동대문구 전농로21길 42,1123010400,,127.0500358,37.5779760
02534,서울특별시 동대문구 한천로33가길 17,1123010400,,127.0493092,37.5774104
02534,서울특별시 동대문구 한천로33가길 17,1123010400,,127.0525306,37.5801967
02492,서울특별시 동대문구 전농로38길 54,1123010400,,127.0500358,37.5779760
02492,서울특별시 동대문구 전농로38길 52,1123010400,,127.0548920,37.5789096
02543,서울특별시 동대문구 서울시립대로28길 19,1123010400,,127.0531100,37.5796717
02543,서울특별시 동대문구 서울시립대로28길 40,1123010400,,127.0482957,37.5754448
02493,서울특별시 동대문구 서울시립대로29길 46,1123010400,,127.0525306,37.5801967
02543,서울특별시 동대문구 서울시립대로28나길 8,1123010400,,127.0460534,37.5766158
02543,서울특별시 동대문구 서울시립대로28나길 7,1123010400,,127.0539854,37.5792236
02543,서울특별시 동대문구 서울시립대로28길 39,1123010400,,127.0549622,37.5790980
02543,서울특별시 동대문구 서울시립대로28길 34,1123010400,,127.0430819,37.5789558
02543,서울특별시 동대문구 서울시립대로28길 31,1123010400,,127.0562866,37.5762979
02543,서울특별시 동대문구 서울시립대로28길 38,1123010400,,127.0435286,37.5784693
02543,서울특별시 동대문구 서울시립대로28길 29,1123010400,,127.0568951,37.5760937
02543,서울특별시 동대문구 서울시립대로28길 37,1123010400,,127.0679340,37.5810998
02543,서울특별시 동대문구 서울시립대로28길 32,1123010400,,127.0681414,37.5795407
02543,서울특별시 동대문구 서울시립대로28길 34,1123010400,,127.0568951,37.5760937
02543,서울특별시 동대문구 서울시립대로28길 36,1123010400,,127.0680695,37.5799592
02543,서울특별시 동대문구 서울시립대로28길 40,1123010400,,127.0568951,37.5760937
02543,서울특별시 동대문구 서울시립대로28길 14,1123010400,,127.0681510,37.5814868
02543,서울특별시 동대문구 서울시립대로28길 26,1123010400,,127.0668067,37.5771744
02543,서울특별시 동대문구 서울시립대로28길 30,1123010400,,127.0680455,37.5809660
02543,서울특별시 동대문구 서울시립대로28길 41,1123010400,,127.0668756,37.5770251
02549,서울특별시 동대문구 서울시립대로16길 48,1123010400,,127.0504091,37.5784278
02546,서울특별시 동대문구 서울시립대로16길 97,1123010400,,127.0670392,37.5778936
02550,서울특별시 동대문구 서울시립대로16길 20,1123010400,,127.0516998,37.5796993
02531,서울특별시 동대문구 전농로14길 11,1123010400,,127.0668756,37.5770251
02531,서울특별시 동대문구 전농로14길 13,1123010400,,127.0527591,37.5795491
02536,서울특별시 동대문구 전농로14길 41,1123010400,,127.0669100,37.5781372
02531,서울특별시 동대문구 전농로14길 11,1123010400,,127.0556294,37.5778338
02536,서울특별시 동대문구 전농로14길 49,1123010400,,127.0528144,37.5821786
02557,서울특별시 동대문구 전농로37길 68,1123010400,,127.0538155,37.5788042
02556,서울특별시 동대문구 전농로37길 46,1123010400,,127.0552254,37.5797773
02557,서울특별시 동대문구 전농로37길 68,1123010400,,127.0517941,37.5801373
02557,서울특별시 동대문구 전농로37길 96,1123010400,,127.0519536,37.5817486
02557,서울특별시 동대문구 전농로37길 68,1123010400,,127.0546621,37.5783832
02557,서울특별시 동대문구 전농로37길 95,1123010400,,127.0518365,37.5817829
02556,서울특별시 동대문구 전농로37가길 24,1123010400,,127.0514194,37.5802169
